data_coleta;ticker;descricao;patrimonio;p_vp;dy;dy_5anos;liquidez;tipo;segmento
2026-05-04;KNCR11;Kinea Rendimentos Imobiliários Fundos;10,96 B;1,03;13,82;11,39;18,38 M;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-04;ISNT11;Itaú Isento Março 28 Fic Fi-Infra;7,62 B;1,01;;;11,59 M;Outro;Fundo de Infraestrutura (FI-Infra)
2026-05-04;KNIP11;Kinea Índice De Preços Fundo;7,48 B;1,0;10,19;11,77;11,34 M;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-04;HGLG11;Pátria Log;7,03 B;0,94;8,46;8,6;15,89 M;Fundo de Tijolo;Logístico / Indústria / Galpões
2026-05-04;ISEN11;Itaú Isento Março 29 Fic Fi De Infraestrutura;6,74 B;1,01;;;4,68 M;Outro;Fundo de Infraestrutura (FI-Infra)
2026-05-04;XPML11;Xp Malls Fundos;6,47 B;1,01;9,93;8,8;17,11 M;Fundo de Tijolo;Shoppings / Varejo
2026-05-04;TRXF11;Trx Real Estate;6,24 B;0,91;13,02;10,57;21,31 M;Fundo de Tijolo;Híbrido
2026-05-04;BTLG11;Btg Pactual Logística;5,46 B;1,01;9,16;8,77;10,64 M;Fundo de Tijolo;Logístico / Indústria / Galpões
2026-05-04;KNRI11;Kinea Renda Imobiliária;4,61 B;1,02;7,48;7,59;6,27 M;Fundo de Tijolo;Híbrido
2026-05-04;XPLG11;Xp Log;4,45 B;0,94;9,83;8,63;5,37 M;Fundo de Tijolo;Logístico / Indústria / Galpões
2026-05-04;MXRF11;Maxi Renda;4,32 B;1,04;12,28;11,69;13,42 M;Fundo de Papel;Híbrido
2026-05-04;FTCE11B;Opportunity;3,90 B;0,96;;4,78;2,92 M;Outro;Híbrido
2026-05-04;ISTT11;Itaú Isento Setembro 29 Fic Fi De Infra Rf;3,71 B;1,01;;;3,62 M;Outro;Fundo de Infraestrutura (FI-Infra)
2026-05-04;VISC11;Vinci Shopping Centers;3,36 B;0,94;8,93;8,41;6,85 M;Fundo de Tijolo;Shoppings / Varejo
2026-05-04;CPTS11;Capitania Securities Ii;3,28 B;0,87;13,5;12,21;7,51 M;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-04;KNHY11;Kinea High Yield Cri;3,09 B;1,01;13,3;13,18;2,40 M;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-04;HGRU11;Pátria Renda Urbana;3,00 B;1,01;9,55;9,1;3,65 M;Fundo Misto;Híbrido
2026-05-04;IRIM11;Iridium;2,94 B;0,78;14,79;11,76;3,75 M;Fundo de Papel;Híbrido
2026-05-04;KDIF11;Kinea Fi - Infra;2,93 B;1,01;12,29;9,94;3,21 M;Outro;Fundo de Infraestrutura (FI-Infra)
2026-05-04;PVBI11;Vbi Prime Properties;2,93 B;0,7;7,17;7,61;4,78 M;Fundo de Tijolo;Lajes Corporativas
2026-05-04;CDII11;Sparta Infra Cdi Fic Fi-Infra;2,81 B;1,0;17,05;14,03;6,18 M;Outro;Fundo de Infraestrutura (FI-Infra)
